,Utility,Year,Measurement (service lines),Size
0,Aqua NJ - Seaview Harbor,2020,0,small
1,Longport Department of Public Works,2020,0,small
2,Saddle River Water Utility - SUEZ,2020,0,small
3,Aqua NJ - California Village,2020,0,small
4,Aqua NJ - Hanover Mobile Village,2020,0,small
5,Aqua NJ - Spartan Village,2020,0,small
6,Pemberton Township Water Department - Lake Valley,2020,0,small
7,Pemberton Township Water Department - Pemberton Heights,2020,0,small
8,Wrightstown Municipal Utilities Authority - Drinking Water,2020,0,small
9,Winslow Township Municipal Utilities Department - East Elmtowne,2020,0,small
10,Cape May Point Boro Water Department,2020,0,small
11,Woodbine Municipal Utilities Authority,2020,0,small
12,Essex Fells Water Department,2020,0,small
13,Aqua NJ - Woolwich,2020,0,small
14,Rosemont Water Company,2020,0,small
15,Glen Gardner Water Department,2020,0,small
16,Hampton Borough Water Department,2020,0,small
17,Aqua NJ - Fox Hill,2020,0,small
18,Aqua NJ - Bunnvale,2020,0,small
19,Hopewell Boro Water Department,2020,0,small
20,Helmetta Water Department,2020,0,small
21,Allentown Boro - Drinking Water,2020,0,small
22,SUEZ Water Manalapan - Millhurst,2020,0,small
23,SUEZ Water Manalapan - Tracey Station,2020,0,small
24,Aberdeen - High School/Oakshade Area,2020,0,small
25,Aberdeen - Freneau,2020,0,small
26,Roosevelt Water Utility,2020,0,small
27,Lake Como Water Department,2020,0,small
28,Spring Lake Water Department,2020,0,small
29,Boonton Township Water Department,2020,0,small
30,Lakeshore Water Company,2020,0,small
31,"Jefferson Township - Drinking Water, Vassar Road",2020,0,small
32,Kinnelon Water Department,2020,0,small
33,Lincoln Park Borough Water Department - Jacksonville System,2020,0,small
34,Mount Arlington Department of Public Works - Kadel System,2020,0,small
35,SUEZ Water New Jersey - Arlington Hills,2020,0,small
36,Mount Olive Villages Water Company,2020,0,small
37,"Mount Olive Township - Drinking Water, Goldmine",2020,0,small
38,"Mount Olive Township - Drinking Water, Sand",2020,0,small
39,"Mount Olive Township - Drinking Water, Village",2020,0,small
40,"Mount Olive Township - Drinking Water, Pinecrest",2020,0,small
41,NJ American Water - Mount Olive - West Jersey,2020,0,small
42,"Mount Olive Township - Drinking Water, Lynwood",2020,0,small
43,"Mount Olive Township - Drinking Water, Carlton Hills",2020,0,small
44,"Mount Olive Township - Drinking Water, Tinc Farm",2020,0,small
45,NJ American Water - ITC,2020,0,small
46,Pequannock Township Water Department - Cedar Crest,2020,0,small
47,Riverdale Boro Water Department,2020,0,small
48,"Roxbury Township - Drinking Water, Evergreen",2020,0,small
49,Aqua NJ - Cliffside Park,2020,0,small
